epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,48.7826,1.635,2.85908,1.59813,0.00417,1,0.78985,0.27558,2.01461,3.00341,1.91179,2e-05,2e-05,2e-05
2,85.406,1.48166,2.69078,1.51869,0.00417,1,0.9253,0.39611,1.77333,2.97758,1.61601,5.802e-05,5.802e-05,5.802e-05
3,152.889,1.21788,2.40437,1.28841,0.00417,1,0.98591,0.52458,1.3271,2.79056,1.26144,9.34e-05,9.34e-05,9.34e-05
4,208.565,1.24249,2.12479,1.23299,0.00417,1,0.995,0.69696,0.996,2.67783,1.08455,0.00012614,0.00012614,0.00012614
5,264.423,1.39945,1.68453,1.24256,0.00417,1,0.995,0.64235,1.08161,2.56649,1.08581,0.00015624,0.00015624,0.00015624
6,309.971,1.25863,1.36208,1.22259,0.00417,1,0.995,0.64441,1.24684,2.40073,1.18652,0.0001837,0.0001837,0.0001837
7,349.392,1.17696,1.32593,1.212,0.74483,1,0.995,0.65345,1.28301,2.28558,1.19868,0.00020852,0.00020852,0.00020852
8,416.319,1.18316,1.23992,1.1225,0.89367,1,0.995,0.63628,1.19038,2.25354,1.14418,0.0002307,0.0002307,0.0002307
9,484.474,1.09947,1.14627,1.15762,0.94191,1,0.995,0.64505,1.13604,2.26044,1.09985,0.00025024,0.00025024,0.00025024
10,547.834,1.16844,1.17205,1.16346,0.88626,1,0.995,0.66849,1.09036,2.25738,1.06141,0.00026714,0.00026714,0.00026714
11,1078.32,1.10545,1.07933,1.19098,0.91216,1,0.995,0.68408,1.06112,2.23523,1.02254,0.0002814,0.0002814,0.0002814
12,1138.5,1.18399,1.21624,1.13893,0.97247,1,0.995,0.69607,1.06523,2.21428,1.01083,0.00029302,0.00029302,0.00029302
13,1180.88,0.93937,0.99027,1.05384,1,0.90174,0.995,0.70909,1.0876,2.18024,1.02116,0.000302,0.000302,0.000302
14,1246.34,1.11232,1.00564,1.11519,1,0.92991,0.995,0.70409,1.13705,2.16115,1.04921,0.00030834,0.00030834,0.00030834
15,1325.33,1.07453,1.02467,1.12961,1,0.9419,0.995,0.68725,1.13319,2.13556,1.05137,0.00031204,0.00031204,0.00031204
16,1385.74,1.0835,1.05849,1.12137,0.98349,1,0.995,0.6939,1.07697,2.11416,1.03319,0.0003131,0.0003131,0.0003131
17,1452.36,1.04902,1.03056,1.11308,0.97163,1,0.995,0.70586,0.97054,2.07987,0.99861,0.00031152,0.00031152,0.00031152
18,1517.25,1.00403,1.01613,1.06791,0.95287,1,0.995,0.72187,0.94681,2.04459,0.97575,0.0003073,0.0003073,0.0003073
19,1603.31,1.06768,1.0248,1.04442,0.96791,1,0.995,0.6878,1.08167,2.02613,1.02196,0.00030044,0.00030044,0.00030044
20,1683.24,0.94566,0.89307,1.02375,0.99014,1,0.995,0.58593,1.35963,1.98731,1.24182,0.00029094,0.00029094,0.00029094
21,1745.07,1.00539,1.32025,1.16191,1,0.98102,0.995,0.57668,1.41996,1.99129,1.29159,0.0002788,0.0002788,0.0002788
22,1806.12,0.88914,1.23827,1.0137,1,0.96304,0.995,0.63428,1.3395,1.98394,1.22009,0.00026402,0.00026402,0.00026402
23,1899.29,0.86478,1.22586,1.08335,1,0.94939,0.995,0.65499,1.22533,1.993,1.1301,0.0002466,0.0002466,0.0002466
24,1956.31,0.88196,1.24565,1.04901,1,0.93007,0.995,0.63275,1.15228,2.07049,1.07727,0.00022654,0.00022654,0.00022654
25,2009.78,0.91896,1.27812,1.0636,1,0.89489,0.995,0.64489,1.12446,2.08458,1.06305,0.00020384,0.00020384,0.00020384
26,2066.06,0.92756,1.23231,1.01742,1,0.87872,0.995,0.63863,1.156,2.04348,1.07719,0.0001785,0.0001785,0.0001785
27,2119.94,0.93095,1.22421,1.04092,1,0.89675,0.995,0.65139,1.15992,1.99477,1.08661,0.00015052,0.00015052,0.00015052
28,2192.11,0.81465,1.19228,1.03004,1,0.89675,0.995,0.65139,1.15992,1.99477,1.08661,0.0001199,0.0001199,0.0001199
29,2245.41,0.81361,1.1807,1.02117,1,0.96207,0.995,0.65756,1.17599,1.89215,1.0886,8.664e-05,8.664e-05,8.664e-05
30,2300.52,0.90171,1.20765,0.99544,1,0.99729,0.995,0.66246,1.18331,1.81132,1.09051,5.074e-05,5.074e-05,5.074e-05
